Time, Date, Latitude, Longitude, Latitudedegree, Longitudedegree, Speed, GPSangle, Altitude
15:33.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:34.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:34.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:35.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:35.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:36.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:36.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:37.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:37.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:38.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:38.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:39.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:39.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:40.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:40.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:41.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:41.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:42.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:42.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:43.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:43.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:44.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.02,34.92,21.5
15:44.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
15:45.0, 22/11/2017, 3750.0241N, 12217.5429W,37.8337,-122.2924,0.01,34.92,21.5
