Time, Date, Latitude, Longitude, Latitudedegree, Longitudedegree, Speed, GPSangle, Altitude
02:39.0, 17/11/2017, 3751.4589N, 12215.7656W,37.8577,-122.2628,0.25,330.99,175
02:40.0, 17/11/2017, 3751.4589N, 12215.7656W,37.8577,-122.2628,0.25,330.99,175
02:41.0, 17/11/2017, 3751.4589N, 12215.7656W,37.8577,-122.2628,0.23,35.33,175
02:42.0, 17/11/2017, 3751.4587N, 12215.7656W,37.8576,-122.2628,0.23,35.33,175
02:42.0, 17/11/2017, 3751.4587N, 12215.7656W,37.8576,-122.2628,0.26,357.63,175
02:42.2, 17/11/2017, 3751.4582N, 12215.7656W,37.8576,-122.2628,0.26,357.63,175
02:42.2, 17/11/2017, 3751.4582N, 12215.7656W,37.8576,-122.2628,0.13,332.6,175
02:44.0, 17/11/2017, 3751.4580N, 12215.7656W,37.8576,-122.2628,0.13,332.6,175
02:44.0, 17/11/2017, 3751.4580N, 12215.7656W,37.8576,-122.2628,0.17,272.09,175
02:45.0, 17/11/2017, 3751.4580N, 12215.7666W,37.8576,-122.2628,0.17,272.09,175
02:45.0, 17/11/2017, 3751.4580N, 12215.7666W,37.8576,-122.2628,0.37,283.9,175
02:46.0, 17/11/2017, 3751.4580N, 12215.7666W,37.8576,-122.2628,0.37,283.9,175
02:46.0, 17/11/2017, 3751.4580N, 12215.7666W,37.8576,-122.2628,0.19,308.91,175
02:47.0, 17/11/2017, 3751.4580N, 12215.7666W,37.8576,-122.2628,0.19,308.91,175
02:47.0, 17/11/2017, 3751.4580N, 12215.7666W,37.8576,-122.2628,0.48,300.72,175
02:48.0, 17/11/2017, 3751.4582N, 12215.7675W,37.8576,-122.2628,0.48,300.72,174.9
02:48.0, 17/11/2017, 3751.4582N, 12215.7675W,37.8576,-122.2628,0.45,313.56,174.9
02:48.2, 17/11/2017, 3751.4582N, 12215.7675W,37.8576,-122.2628,0.45,313.56,174.9
02:48.2, 17/11/2017, 3751.4582N, 12215.7675W,37.8576,-122.2628,0.48,318.65,174.9
02:50.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.48,318.65,174.9
02:50.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.52,331.2,174.9
02:51.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.52,331.2,175
02:51.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.62,331.71,175
02:52.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.62,331.71,175
02:52.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.46,288.04,175
02:53.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.46,288.04,175
02:53.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.5,280.02,175
02:54.0, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.5,280.02,175
02:54.2, 17/11/2017, 3751.4587N, 12215.7675W,37.8576,-122.2628,0.3,307.58,175
02:56.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.3,307.58,175
02:57.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.28,310.31,175
02:58.0, 17/11/2017, 3751.4589N, 12215.7685W,37.8577,-122.2628,0.28,310.31,175
02:58.0, 17/11/2017, 3751.4589N, 12215.7685W,37.8577,-122.2628,0.23,322.41,175
02:59.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.23,322.41,175
02:59.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.17,49.24,175
03:00.0, 17/11/2017, 3751.4589N, 12215.7675W,37.8577,-122.2628,0.17,49.24,175
03:00.2, 17/11/2017, 3751.4572N, 12215.7753W,37.8576,-122.2629,0.36,233.25,175
03:02.0, 17/11/2017, 3751.4562N, 12215.7802W,37.8576,-122.263,0.36,233.25,161.9
03:02.0, 17/11/2017, 3751.4562N, 12215.7802W,37.8576,-122.263,0.31,200.56,161.9
03:03.0, 17/11/2017, 3751.4555N, 12215.7822W,37.8576,-122.263,0.31,200.56,159.2
03:03.0, 17/11/2017, 3751.4555N, 12215.7822W,37.8576,-122.263,0.23,161.88,159.2
03:04.0, 17/11/2017, 3751.4553N, 12215.7832W,37.8576,-122.2631,0.23,161.88,157
03:04.0, 17/11/2017, 3751.4553N, 12215.7832W,37.8576,-122.2631,0.46,167.09,157
03:05.0, 17/11/2017, 3751.4553N, 12215.7841W,37.8576,-122.2631,0.46,167.09,155
03:05.0, 17/11/2017, 3751.4553N, 12215.7841W,37.8576,-122.2631,0.37,155.08,155
03:06.0, 17/11/2017, 3751.4550N, 12215.7851W,37.8576,-122.2631,0.37,155.08,153
03:06.0, 17/11/2017, 3751.4550N, 12215.7851W,37.8576,-122.2631,0.29,150,153
03:07.0, 17/11/2017, 3751.4548N, 12215.7861W,37.8576,-122.2631,0.29,150,151.7
03:07.0, 17/11/2017, 3751.4548N, 12215.7861W,37.8576,-122.2631,0.18,134.41,151.7
03:08.0, 17/11/2017, 3751.4548N, 12215.7871W,37.8576,-122.2631,0.18,134.41,150.2
03:08.0, 17/11/2017, 3751.4548N, 12215.7871W,37.8576,-122.2631,0.02,146.93,150.2
03:09.0, 17/11/2017, 3751.4545N, 12215.7871W,37.8576,-122.2631,0.02,146.93,148.9
03:09.0, 17/11/2017, 3751.4545N, 12215.7871W,37.8576,-122.2631,0.1,163.06,148.9
03:10.0, 17/11/2017, 3751.4545N, 12215.7871W,37.8576,-122.2631,0.1,163.06,147.9
03:10.0, 17/11/2017, 3751.4545N, 12215.7871W,37.8576,-122.2631,0.12,126.04,147.9
03:11.0, 17/11/2017, 3751.4541N, 12215.7871W,37.8576,-122.2631,0.12,126.04,147
