Time, Date, Latitude, Longitude, Latitudedegree, Longitudedegree, Speed, GPSangle, Altitude
53:29.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,6.86,0
53:30.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,6.86,107.8
53:30.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,32.54,107.8
53:31.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,32.54,107.8
53:31.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,23.06,107.8
53:32.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,23.06,107.8
53:32.0, 22/11/2017, 3751.3771N, 12215.7783W,37.8563,-122.263,0.23,346.4,107.8
53:33.0, 22/11/2017, 3751.3774N, 12215.7783W,37.8563,-122.263,0.23,346.4,107.8
53:33.0, 22/11/2017, 3751.3774N, 12215.7783W,37.8563,-122.263,0.28,318.11,107.8
53:34.0, 22/11/2017, 3751.3774N, 12215.7783W,37.8563,-122.263,0.28,318.11,107.7
53:34.0, 22/11/2017, 3751.3774N, 12215.7783W,37.8563,-122.263,0.4,321.75,107.7
53:35.0, 22/11/2017, 3751.3774N, 12215.7783W,37.8563,-122.263,0.4,321.75,107.7
53:35.0, 22/11/2017, 3751.3774N, 12215.7783W,37.8563,-122.263,0.49,315.4,107.7
53:36.0, 22/11/2017, 3751.3776N, 12215.7783W,37.8563,-122.263,0.49,315.4,107.7
53:36.0, 22/11/2017, 3751.3776N, 12215.7783W,37.8563,-122.263,0.62,316.41,107.7
53:37.0, 22/11/2017, 3751.3779N, 12215.7792W,37.8563,-122.263,0.62,316.41,107.3
53:37.0, 22/11/2017, 3751.3779N, 12215.7792W,37.8563,-122.263,0.64,317.64,107.3
53:38.0, 22/11/2017, 3751.3784N, 12215.7792W,37.8563,-122.263,0.64,317.64,106.9
53:38.0, 22/11/2017, 3751.3784N, 12215.7792W,37.8563,-122.263,0.59,311.78,106.9
53:39.0, 22/11/2017, 3751.3784N, 12215.7792W,37.8563,-122.263,0.59,311.78,106.5
53:39.0, 22/11/2017, 3751.3784N, 12215.7792W,37.8563,-122.263,0.63,304.48,106.5
53:40.0, 22/11/2017, 3751.3789N, 12215.7802W,37.8563,-122.263,0.63,304.48,105.9
53:40.0, 22/11/2017, 3751.3789N, 12215.7802W,37.8563,-122.263,0.52,302.5,105.9
