Time, Date, Latitude, Longitude, Latitudedegree, Longitudedegree, Speed, GPSangle, Altitude
12:24.0, 21/11/2017, 3752.4265N, 12215.5332W,37.8738,-122.2589,2.33,87.73,175.3
12:24.2, 21/11/2017, 3752.4277N, 12215.5322W,37.8738,-122.2589,2.27,84.37,175.3
12:26.0, 21/11/2017, 3752.4279N, 12215.5312W,37.8738,-122.2589,2.27,84.37,175.1
12:26.0, 21/11/2017, 3752.4279N, 12215.5312W,37.8738,-122.2589,2.2,81.09,175.1
12:27.0, 21/11/2017, 3752.4277N, 12215.5302W,37.8738,-122.2588,2.2,81.09,175.2
12:27.0, 21/11/2017, 3752.4277N, 12215.5302W,37.8738,-122.2588,2.11,81.42,175.2
12:28.0, 21/11/2017, 3752.4277N, 12215.5292W,37.8738,-122.2588,2.11,81.42,175.2
12:28.0, 21/11/2017, 3752.4277N, 12215.5292W,37.8738,-122.2588,2.13,79.64,175.2
12:29.0, 21/11/2017, 3752.4277N, 12215.5292W,37.8738,-122.2588,2.13,79.64,175.3
12:29.0, 21/11/2017, 3752.4277N, 12215.5292W,37.8738,-122.2588,2.4,78.17,175.3
12:30.0, 21/11/2017, 3752.4282N, 12215.5283W,37.8738,-122.2588,2.4,78.17,175.3
12:30.2, 21/11/2017, 3752.4282N, 12215.5283W,37.8738,-122.2588,2.19,70.7,175.3
12:32.0, 21/11/2017, 3752.4289N, 12215.5273W,37.8738,-122.2588,2.19,70.7,175.4
12:32.0, 21/11/2017, 3752.4289N, 12215.5273W,37.8738,-122.2588,2.27,65.79,175.4
12:33.0, 21/11/2017, 3752.4287N, 12215.5263W,37.8738,-122.2588,2.27,65.79,175.5
12:33.0, 21/11/2017, 3752.4287N, 12215.5263W,37.8738,-122.2588,2.07,75.7,175.5
12:34.0, 21/11/2017, 3752.4274N, 12215.5263W,37.8738,-122.2588,2.07,75.7,175.5
12:34.0, 21/11/2017, 3752.4274N, 12215.5263W,37.8738,-122.2588,2.25,100.45,175.5
12:35.0, 21/11/2017, 3752.4267N, 12215.5253W,37.8738,-122.2588,2.25,100.45,175.5
12:35.0, 21/11/2017, 3752.4267N, 12215.5253W,37.8738,-122.2588,2.52,107.18,175.5
12:36.0, 21/11/2017, 3752.4262N, 12215.5244W,37.8738,-122.2587,2.52,107.18,175.6
12:36.2, 21/11/2017, 3752.4262N, 12215.5244W,37.8738,-122.2587,2.38,112.99,175.6
12:38.0, 21/11/2017, 3752.4257N, 12215.5234W,37.8738,-122.2587,2.38,112.99,175.7
12:38.0, 21/11/2017, 3752.4257N, 12215.5234W,37.8738,-122.2587,2.21,110.01,175.7
12:39.0, 21/11/2017, 3752.4248N, 12215.5224W,37.8737,-122.2587,2.21,110.01,175.7
12:39.0, 21/11/2017, 3752.4248N, 12215.5224W,37.8737,-122.2587,2.17,119.54,175.7
12:40.0, 21/11/2017, 3752.4248N, 12215.5224W,37.8737,-122.2587,2.17,119.54,175.8
12:40.0, 21/11/2017, 3752.4248N, 12215.5224W,37.8737,-122.2587,2.01,118.9,175.8
12:41.0, 21/11/2017, 3752.4245N, 12215.5214W,37.8737,-122.2587,2.01,118.9,175.8
12:41.0, 21/11/2017, 3752.4245N, 12215.5214W,37.8737,-122.2587,1.89,118.35,175.8
12:42.0, 21/11/2017, 3752.4240N, 12215.5214W,37.8737,-122.2587,1.89,118.35,175.9
12:42.2, 21/11/2017, 3752.4240N, 12215.5214W,37.8737,-122.2587,1.57,124.68,175.9
12:44.0, 21/11/2017, 3752.4240N, 12215.5205W,37.8737,-122.2587,1.57,124.68,175.9
12:44.0, 21/11/2017, 3752.4240N, 12215.5205W,37.8737,-122.2587,1.27,122.29,175.9
12:45.0, 21/11/2017, 3752.4243N, 12215.5205W,37.8737,-122.2587,1.27,122.29,176
12:45.0, 21/11/2017, 3752.4243N, 12215.5205W,37.8737,-122.2587,1.14,122.71,176
12:46.0, 21/11/2017, 3752.4243N, 12215.5205W,37.8737,-122.2587,1.14,122.71,176
12:46.0, 21/11/2017, 3752.4243N, 12215.5205W,37.8737,-122.2587,1.05,122.03,176
12:47.0, 21/11/2017, 3752.4243N, 12215.5205W,37.8737,-122.2587,1.05,122.03,176.1
12:47.0, 21/11/2017, 3752.4243N, 12215.5205W,37.8737,-122.2587,1.03,121.68,176.1
12:48.0, 21/11/2017, 3752.4243N, 12215.5195W,37.8737,-122.2587,1.03,121.68,176.1
12:48.2, 21/11/2017, 3752.4243N, 12215.5195W,37.8737,-122.2587,0.85,123.41,176.1
12:50.0, 21/11/2017, 3752.4240N, 12215.5195W,37.8737,-122.2587,0.85,123.41,176.2
12:50.0, 21/11/2017, 3752.4240N, 12215.5195W,37.8737,-122.2587,0.82,122.93,176.2
12:51.0, 21/11/2017, 3752.4240N, 12215.5185W,37.8737,-122.2586,0.82,122.93,175.6
12:51.0, 21/11/2017, 3752.4240N, 12215.5185W,37.8737,-122.2586,0.87,122.6,175.6
12:52.0, 21/11/2017, 3752.4243N, 12215.5185W,37.8737,-122.2586,0.87,122.6,175.6
12:52.0, 21/11/2017, 3752.4243N, 12215.5185W,37.8737,-122.2586,0.69,120.82,175.6
12:53.0, 21/11/2017, 3752.4245N, 12215.5185W,37.8737,-122.2586,0.69,120.82,175.6
12:53.0, 21/11/2017, 3752.4245N, 12215.5185W,37.8737,-122.2586,0.63,113.86,175.6
12:54.0, 21/11/2017, 3752.4248N, 12215.5185W,37.8737,-122.2586,0.63,113.86,175.7
12:54.2, 21/11/2017, 3752.4523N, 12215.4970W,37.8742,-122.2583,1.97,36.39,175.7
