Time, Date, Latitude, Longitude, Latitudedegree, Longitudedegree, Speed, GPSangle, Altitude
29:01.0, 23/11/2017, 3751.3869N, 12215.5830W,37.8564,-122.2597,6.63,152.89,50.7
29:02.0, 23/11/2017, 3751.3864N, 12215.5830W,37.8564,-122.2597,6.63,152.89,53.9
29:02.0, 23/11/2017, 3751.3864N, 12215.5830W,37.8564,-122.2597,0.07,152.89,53.9
29:03.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.07,152.89,53.7
29:03.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.07,152.89,53.7
29:04.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.07,152.89,53.3
29:04.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.05,152.89,53.3
29:05.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.05,152.89,52.9
29:05.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.04,152.89,52.9
29:06.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.04,152.89,52.6
29:06.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.03,152.89,52.6
29:07.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.03,152.89,52.2
29:07.0, 23/11/2017, 3751.3867N, 12215.5830W,37.8564,-122.2597,0.03,152.89,52.2
29:08.0, 23/11/2017, 3751.3869N, 12215.5830W,37.8564,-122.2597,0.03,152.89,51.7
29:08.0, 23/11/2017, 3751.3869N, 12215.5830W,37.8564,-122.2597,0.02,152.89,51.7
29:09.0, 23/11/2017, 3751.3869N, 12215.5830W,37.8564,-122.2597,0.02,152.89,51.4
29:09.0, 23/11/2017, 3751.3869N, 12215.5830W,37.8564,-122.2597,0.02,152.89,51.4
29:10.0, 23/11/2017, 3751.3874N, 12215.5830W,37.8565,-122.2597,0.02,152.89,50.6
29:10.0, 23/11/2017, 3751.3874N, 12215.5830W,37.8565,-122.2597,0,152.89,50.6
29:11.0, 23/11/2017, 3751.3876N, 12215.5830W,37.8565,-122.2597,0,152.89,49.8
29:11.0, 23/11/2017, 3751.3876N, 12215.5830W,37.8565,-122.2597,0.01,152.89,49.8
29:12.0, 23/11/2017, 3751.3881N, 12215.5830W,37.8565,-122.2597,0.01,152.89,49.1
29:12.0, 23/11/2017, 3751.3881N, 12215.5830W,37.8565,-122.2597,0,152.89,49.1
29:13.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:13.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:14.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:14.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:15.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:15.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:16.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:16.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:17.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:17.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:18.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:18.0, 23/11/2017, 3751.3884N, 12215.5830W,37.8565,-122.2597,0,152.89,48.6
29:19.0, 23/11/2017, 3751.3879N, 12215.5830W,37.8565,-122.2597,0,152.89,49.8
29:19.0, 23/11/2017, 3751.3879N, 12215.5830W,37.8565,-122.2597,0.01,152.89,49.8
29:20.0, 23/11/2017, 3751.3876N, 12215.5830W,37.8565,-122.2597,0.01,152.89,50.1
29:20.0, 23/11/2017, 3751.3876N, 12215.5830W,37.8565,-122.2597,0.01,152.89,50.1
29:21.0, 23/11/2017, 3751.3872N, 12215.5820W,37.8565,-122.2597,0.01,152.89,50.9
29:21.0, 23/11/2017, 3751.3872N, 12215.5820W,37.8565,-122.2597,0.01,152.89,50.9
29:22.0, 23/11/2017, 3751.3872N, 12215.5820W,37.8565,-122.2597,0.01,152.89,51.3
29:22.0, 23/11/2017, 3751.3872N, 12215.5820W,37.8565,-122.2597,0.01,152.89,51.3
29:23.0, 23/11/2017, 3751.3869N, 12215.5820W,37.8564,-122.2597,0.01,152.89,51.5
29:23.0, 23/11/2017, 3751.3869N, 12215.5820W,37.8564,-122.2597,0.01,152.89,51.5
29:24.0, 23/11/2017, 3751.3867N, 12215.5820W,37.8564,-122.2597,0.01,152.89,51.4
29:24.0, 23/11/2017, 3751.3867N, 12215.5820W,37.8564,-122.2597,0.06,152.89,51.4
29:25.0, 23/11/2017, 3751.3859N, 12215.5820W,37.8564,-122.2597,0.06,152.89,51.8
29:25.0, 23/11/2017, 3751.3859N, 12215.5820W,37.8564,-122.2597,2.73,189.1,51.8
29:26.0, 23/11/2017, 3751.3850N, 12215.5820W,37.8564,-122.2597,2.73,189.1,51.7
29:26.0, 23/11/2017, 3751.3850N, 12215.5820W,37.8564,-122.2597,3.53,183.56,51.7
29:27.0, 23/11/2017, 3751.3828N, 12215.5810W,37.8564,-122.2597,3.53,183.56,51.8
29:27.0, 23/11/2017, 3751.3828N, 12215.5810W,37.8564,-122.2597,8.42,152.67,51.8
29:28.0, 23/11/2017, 3751.3798N, 12215.5771W,37.8563,-122.2596,8.42,152.67,52.6
29:28.0, 23/11/2017, 3751.3798N, 12215.5771W,37.8563,-122.2596,14.46,122.71,52.6
29:29.0, 23/11/2017, 3751.3784N, 12215.5712W,37.8563,-122.2595,14.46,122.71,52.7
29:29.0, 23/11/2017, 3751.3784N, 12215.5712W,37.8563,-122.2595,17.21,106.26,52.7
29:30.0, 23/11/2017, 3751.3776N, 12215.5644W,37.8563,-122.2594,17.21,106.26,52.6
29:30.0, 23/11/2017, 3751.3776N, 12215.5644W,37.8563,-122.2594,19.95,96.31,52.6
29:31.0, 23/11/2017, 3751.3789N, 12215.5566W,37.8563,-122.2593,19.95,96.31,53.1
29:31.0, 23/11/2017, 3751.3789N, 12215.5566W,37.8563,-122.2593,22.99,82.76,53.1
29:32.0, 23/11/2017, 3751.3798N, 12215.5478W,37.8563,-122.2591,22.99,82.76,53.5
29:32.0, 23/11/2017, 3751.3798N, 12215.5478W,37.8563,-122.2591,24.45,80.57,53.5
29:33.0, 23/11/2017, 3751.3806N, 12215.5390W,37.8563,-122.259,24.45,80.57,53.8
29:33.0, 23/11/2017, 3751.3806N, 12215.5390W,37.8563,-122.259,24.49,80.9,53.8
29:34.0, 23/11/2017, 3751.3811N, 12215.5302W,37.8563,-122.2588,24.49,80.9,54.2
29:34.0, 23/11/2017, 3751.3811N, 12215.5302W,37.8563,-122.2588,24.13,81.12,54.2
29:35.0, 23/11/2017, 3751.3820N, 12215.5214W,37.8564,-122.2587,24.13,81.12,54.4
29:35.0, 23/11/2017, 3751.3820N, 12215.5214W,37.8564,-122.2587,23.71,81.83,54.4
29:36.0, 23/11/2017, 3751.3828N, 12215.5126W,37.8564,-122.2585,23.71,81.83,54.2
29:36.0, 23/11/2017, 3751.3828N, 12215.5126W,37.8564,-122.2585,23.34,82.89,54.2
29:37.0, 23/11/2017, 3751.3833N, 12215.5048W,37.8564,-122.2584,23.34,82.89,54.3
29:37.0, 23/11/2017, 3751.3833N, 12215.5048W,37.8564,-122.2584,23.38,83.5,54.3
29:38.0, 23/11/2017, 3751.3842N, 12215.4960W,37.8564,-122.2583,23.38,83.5,54.5
29:38.0, 23/11/2017, 3751.3842N, 12215.4960W,37.8564,-122.2583,23.54,82.73,54.5
29:39.0, 23/11/2017, 3751.3850N, 12215.4873W,37.8564,-122.2581,23.54,82.73,54.5
29:39.0, 23/11/2017, 3751.3850N, 12215.4873W,37.8564,-122.2581,24.25,83.29,54.5
29:40.0, 23/11/2017, 3751.3859N, 12215.4785W,37.8564,-122.258,24.25,83.29,54.6
29:40.0, 23/11/2017, 3751.3859N, 12215.4785W,37.8564,-122.258,24.49,81.82,54.6
29:41.0, 23/11/2017, 3751.3869N, 12215.4697W,37.8564,-122.2578,24.49,81.82,54.6
29:41.0, 23/11/2017, 3751.3869N, 12215.4697W,37.8564,-122.2578,24.56,82.89,54.6
29:42.0, 23/11/2017, 3751.3881N, 12215.4609W,37.8565,-122.2577,24.56,82.89,54.6
29:42.0, 23/11/2017, 3751.3881N, 12215.4609W,37.8565,-122.2577,24.86,82.18,54.6
29:43.0, 23/11/2017, 3751.3894N, 12215.4521W,37.8565,-122.2575,24.86,82.18,54.7
29:43.0, 23/11/2017, 3751.3894N, 12215.4521W,37.8565,-122.2575,24.79,83.05,54.7
29:44.0, 23/11/2017, 3751.3906N, 12215.4433W,37.8565,-122.2574,24.79,83.05,54.8
29:44.0, 23/11/2017, 3751.3906N, 12215.4433W,37.8565,-122.2574,24.85,83.62,54.8
29:45.0, 23/11/2017, 3751.3916N, 12215.4345W,37.8565,-122.2572,24.85,83.62,54.8
29:45.0, 23/11/2017, 3751.3916N, 12215.4345W,37.8565,-122.2572,25.05,82.83,54.8
29:46.0, 23/11/2017, 3751.3920N, 12215.4257W,37.8565,-122.2571,25.05,82.83,54.8
29:46.0, 23/11/2017, 3751.3920N, 12215.4257W,37.8565,-122.2571,25.11,83.24,54.8
29:47.0, 23/11/2017, 3751.3930N, 12215.4169W,37.8566,-122.257,25.11,83.24,55
29:47.0, 23/11/2017, 3751.3930N, 12215.4169W,37.8566,-122.257,25.33,81.71,55
29:48.0, 23/11/2017, 3751.3937N, 12215.4072W,37.8566,-122.2568,25.33,81.71,55.1
29:48.0, 23/11/2017, 3751.3937N, 12215.4072W,37.8566,-122.2568,25.96,82.49,55.1
29:49.0, 23/11/2017, 3751.3947N, 12215.3984W,37.8566,-122.2566,25.96,82.49,55.5
